Game|Question|Correct|Incorrect_1|Incorrect_2|Incorrect_3
Archipelago|What is the default percentage of checks required to get a hint?|10%                              |15%                              |30%                              |20%
Archipelago|What was the command used to send all checks before !release?   |!forfeit                         |!giveup                          |!collect                         |!remaining
Archipelago|What ALTTP item was originally used to represent Factorio items?|Hammer                           |Shovel                           |Star                             |Empty Chest
Archipelago|In The Witness, you can always get a free puzzle skip by ____?  |Petting the dog statue near town |Re-solving the tutorial gate     |Playing the "...what?" audio log |Re-solving the first puzzle
Archipelago|Which of these VVV locations is not part of Space Station 2?    |Upstairs Downstairs              |Getting Here Is Half The Fun     |Seeing Dollar Signs              |A Deception
Archipelago|What was the first supported Archipelago game?                  |A Link to the Past               |Ocarina of Time                  |Donkey Kong Country 3            |SMZ3
Archipelago|Which is NOT a valid page on Archipelago's website?             |Setup Guide for Linux            |Glossary                         |Favicon                          |User Content
Archipelago|What popular tracker program supports native AP autotracking?   |Poptracker                       |Emotracker                       |Webtracker                       |Geotracker
Archipelago|What does the "BK" in BK Mode stand for?                        |Burger King                      |Bonkey Kong                      |Black Knight                     |It doesn't stand for anything
Archipelago|Which item name is shared across the most games?                |Nothing                          |Key                              |Ice trap                         |Bee trap
Archipelago|What do the circles in the Archipelago logo represent?          |Moon Pearls                      |Islands                          |Worlds                           |Nothing, they're just circles
Archipelago|What is the image on https://archipelago.gg/?                   |An island                        |A green square                   |A Clique button                  |A mountain
Archipelago|How many worlds was the first Big Async?                        |50                               |30                               |75                               |100
Archipelago|Which game did Phar NOT work on?                                |Hollow Knight                    |Pharcryption                     |Password Game                    |Clique
Archipelago|What game did NOT get added in version 4.4?                     |Undertale                        |Landstalker                      |Pokemon Emerald                  |Final Fantasy Mystic Quest
Archipelago|Which version of AP added StarCraft 2: Wings of Liberty?        |0.3.2                            |0.3.0                            |0.3.4                            |0.4.2
Donkey Kong Country 3|What reoccurring Animal Buddy does not appear in DKC3 at all?   |Rambi                            |Engarde                          |Squawks                          |Squitter
Ocarina of Time|How many points do you need for the second OoT HB Archery prize?|1500                             |1000                             |1200                             |2000
Ocarina of Time|What animal can you find grafted to MQ Jabu Jabu's innards?     |Cow                              |Cucco                            |Horse                            |Like Like
Secret of Evermore|What is the least valuable currency in Secret of Evermore?      |Credits                          |Talons                           |Jewels                           |Gold Coins
Secret of Evermore|What is the most valuable currency in Secret of Evermore?       |Gold Coins                       |Talons                           |Jewels                           |Credits
Secret of Evermore|What is the only SoE ingredient that cannot be farmed at all?   |Dry Ice                          |Meterorite                       |Feather                          |Mud Pepper
Secret of Evermore|What is the stronger, harder version of Thraxx named in SoE?    |Coleoptera                       |Strepsiptera                     |Megaloptera                      |Raphidioptera
Sonic Adventure 2 Battle|How much time do you have to defeat the Finalhazard in SA2B?    |5 minutes                        |10 minutes                       |7 minutes                        |Until your rings run out
The Legend of Zelda|In Z1, Level 2 is shaped like a ____?                           |Moon                             |Eagle                            |Manji                            |Skull
VVVVVV|____ is not a crewmate in VVVVVV?                               |Valorant                         |Verdigris                        |Vitellary                        |Vermillion
Ocarina of Time|Which of these OoT areas does not have any soft soil patches?   |Zora's Fountain                  |Kokiri Forest                    |Gerudo Valley                    |Death Mountain Crater
Ocarina of Time|How many keys does Fire Temple have in Ocarina of Time?         |8                                |7                                |6                                |5
Ocarina of Time|What 2 Medallions will trigger the Light Arrow cutscene in OoT? |Spirit + Shadow                  |Light + Spirit                   |Forest + Fire                    |Shadow + Water
A Link to the Past|What crystal pair do you need to buy big bombs in ALttP?        |5 + 6                            |1 + 2                            |3 + 4                            |6 + 7
A Link to the Past|What colored pendent does Sahasrahla need to see for a check?   |Green                            |Red                              |Blue                             |Purple
A Link to the Past|Where in ALttP does the Maridia portal connect to in SMZ3?      |Ice Lake                         |Swamp of Evil                    |Skeleton Forest                  |Zora's Waterfall
Mario is Missing|Which city cannot be visited in Mario is Missing?               |Venice, Italy                    |Mexico City, Mexico              |New York City, New York          |Sydney, Australia
SMZ3|Which of these SMZ3 portal pairs does not exist?                |Brinstar-Lost Woods              |Maridia-East Ice Lake            |Norfair-Death Mountain           |Lower Norfair-Swamp of Evil
Donkey Kong Country 3|In DKC3, how many banana birds does it take to free the queen?  |15                               |14                               |16                               |13
Donkey Kong Country 3|What world is Kong-Fused Cliffs normally part of in DKC3?       |Razor Ridge                      |K3                               |Cotton Top Cove                  |Krematoa
Donkey Kong Country 3|Who is the boss of Mekanos in Donkey Kong Country 3?            |KAOS                             |Arich                            |Belcha                           |Kroctopus
Hollow Knight|What item do you need to reach the Hive in Hollow Knight?       |Tram Pass                        |Lumafly Lantern                  |Isma's Tear                      |Delicate Flower
The Messenger|What area in The Messenger are the Catacombs directly beneath?  |Forlorn Temple                   |Ninja Village                    |Glacial Peak                     |Tower of Time
Archipelago|What does BK mode mean?                                         |You are unable to get more checks|You have beaten your game        |You have checks to send out      |You only have out of logic checks
Archipelago|With all default settings, Which AP game has the most checks?   |Dark Souls 3                     |ALTTP                            |DLCQuest                         |Stardew Valley
Archipelago|As of AP 0.4.4, how many games have an "ether" item?            |6                                |4                                |5                                |7
Ocarina of Time|What is the name of the only green Rupee in OoT by default?     |Greg                             |Grant                            |Geoffrey                         |Garrett
Hollow Knight|The Hollow Knight item World Sense is classified as a ____ item.|Progression                      |Useful                           |Junk                             |Trap
Archipelago|What color is the bottom sphere in the AP logo?                 |Orange                           |Red                              |Yellow                           |Green
Archipelago|Which of these is not an AP version?                            |0.0.4                            |0.1.9                            |0.2.5                            |0.3.7
Muse Dash|Who of the following is not a main character of Muse Dash?      |Ola                              |Rin                              |Marija                           |Buro
Archipelago|What game was the second to be added to AP?                     |Factorio                         |Super Metroid                    |Ocarina of Time                  |Hollow Knight
Archipelago|What did Berserker's Multiworld, AP's predecessor, randomise?   |Zelda: A Link to the Past        |Zelda: A Link Between Worlds     |Zelda: Ancient Stone Tablets     |Factorio
SMZ3|What does "SMZ3" mean?                                          |Super Metroid & Zelda 3 combo    |Super Mario & Zelda 3 combo      |Super Madden & Zelda 3 combo     |Super Morph & Zelda 3 combo
Archipelago|What were the first Pokemon games added to Archipelago?         |Pokemon Red and Blue             |Pokemon Gold and Silver          |Pokemon Ruby and Sapphire        |Pokemon Diamond and Jade
Archipelago|What file type contains an AP player's randomisation settings?  |.yaml                            |.txt                             |.doc                             |.xls
